,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,Industries_List,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,Governor,Party,Abbreviation
32,New York,Reopened,"['Retail', 'Houses of worship', 'Outdoor and recreation', 'Food and drink', 'Industries', 'Personal care', 'Entertainment', 'Outdoor and recreation', 'Industries']",May 28,1,1,1,1,1,1,1,6,"Construction, manufacturing; Offices",1,0,1,0,0,1,0,0,Andrew Cuomo,Democratic,NY
33,North Carolina,Reopened,"['Retail', 'Houses of worship', 'Food and drink', 'Personal care', 'Outdoor and recreation']",May 22,1,1,1,1,0,0,1,4,No Industry,0,0,0,0,0,0,0,0,Roy Cooper,Democratic,NC
34,North Dakota,Reopened,"['Food and drink', 'Outdoor and recreation', 'Personal care', 'Entertainment']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,0,4,No Industry,0,0,0,0,0,0,0,0,Doug Burgum,Republican,ND
35,Ohio,Reopened,"['Industries', 'Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",May 29,1,1,1,1,1,1,0,6,"Manufacturing, distribution, construction; Offices",1,0,1,0,1,1,0,0,Richard Michael DeWine,Republican,OH
36,Oklahoma,Reopened,"['Personal care', 'Outdoor and recreation', 'Retail', 'Food and drink', 'Entertainment', 'Houses of worship', 'Industries']",Did not have a statewide stay-at-home order.,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,Kevin Stitt,Republican,OK
37,Oregon,Reopened,"['Outdoor and recreation', 'Retail', 'Entertainment', 'Industries', 'Food and drink', 'Personal care', 'Houses of worship']",March 23,1,1,1,1,1,1,1,6,Offices in most counties,0,0,1,0,0,0,0,0,Kate Brown,Democratic,OR
38,Pennsylvania,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment']",June 4,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Tom Wolf,Democratic,PA
39,Puerto Rico,Reopened,"['Food and drink', 'Personal care', 'Retail', 'Outdoor and recreation', 'Entertainment', 'Houses of worship']",June 15,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,,,
40,Rhode Island,Reopened,"['Outdoor and recreation', 'Retail', 'Industries', 'Personal care', 'Houses of worship', 'Food and drink']",May 8,1,1,1,1,0,1,1,5,Offices; Malls,0,0,1,0,0,0,1,0,Gina Raimondo,Democratic,RI
41,South Carolina,Reopened,"['Retail', 'Outdoor and recreation', 'Food and drink', 'Personal care', 'Entertainment']",May 4,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Henry McMaster,Republican,SC
